realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,city,period
2.7126641389044512,Entire home/apt,4.0,False,0,0,9.0,90,2,1.0,1.0,amsterdam,weekdays
2.788479511622784,Private room,4.0,False,0,0,10.0,90,1,1.5,0.0,amsterdam,weekdays
2.8676055425559865,Entire home/apt,2.0,False,0,0,8.0,80,1,2.5,0.5,amsterdam,weekdays
2.8362695467025105,Entire home/apt,4.0,True,0,0,10.0,100,2,3.0,0.5,amsterdam,weekdays
2.9156485814279947,Entire home/apt,5.0,False,0,0,10.0,95,2,3.5,1.5,amsterdam,weekdays
2.4874495159588026,Entire home/apt,2.0,False,0,0,9.0,95,1,3.0,2.0,amsterdam,weekdays
3.3004393127113167,Entire home/apt,6.0,False,0,0,9.0,100,3,1.5,0.0,amsterdam,weekdays
2.8053726757673734,Entire home/apt,2.0,False,0,0,9.0,100,1,4.0,1.0,amsterdam,weekdays
3.055588562870982,Entire home/apt,4.0,True,0,0,10.0,95,3,3.0,0.5,amsterdam,weekdays
2.6081438921441125,Private room,4.0,False,0,0,10.0,90,1,11.0,0.5,amsterdam,weekdays
2.6025888869894556,Private room,2.0,False,0,1,10.0,95,0,1.0,0.5,amsterdam,weekdays
2.4874495159588026,Private room,2.0,False,1,0,10.0,100,1,2.0,0.0,amsterdam,weekdays
2.8376028755127516,Private room,4.0,False,0,0,10.0,100,2,1.5,1.0,amsterdam,weekdays
2.812169780014293,Entire home/apt,2.0,False,0,0,10.0,100,1,1.5,1.5,amsterdam,weekdays
2.5209100776224687,Entire home/apt,2.0,False,0,0,10.0,100,0,2.5,2.0,amsterdam,weekdays
2.623669262976792,Entire home/apt,2.0,True,0,0,9.0,95,0,2.0,0.0,amsterdam,weekdays
2.888886862917063,Entire home/apt,2.0,False,0,0,10.0,95,1,3.0,0.5,amsterdam,weekdays
3.051901601342526,Entire home/apt,4.0,False,1,0,8.0,90,2,3.0,1.0,amsterdam,weekdays
2.3197245283055934,Private room,2.0,False,1,0,8.0,90,1,10.5,0.5,amsterdam,weekdays
2.717956892748956,Private room,4.0,False,0,0,10.0,95,2,2.5,2.0,amsterdam,weekdays
2.6517887577095434,Private room,2.0,True,0,0,9.0,95,1,1.0,1.0,amsterdam,weekdays
2.3098649792763815,Private room,2.0,False,0,0,10.0,95,1,11.0,0.0,amsterdam,weekdays
2.646078782190552,Private room,2.0,False,0,0,9.0,90,1,1.0,1.0,amsterdam,weekdays
2.512549070006334,Private room,2.0,True,1,0,10.0,95,1,3.5,1.0,amsterdam,weekdays
3.130947363226861,Entire home/apt,4.0,False,0,0,9.0,95,2,0.5,0.5,amsterdam,weekdays
2.7663948622558507,Entire home/apt,4.0,False,0,0,10.0,100,2,7.0,0.5,amsterdam,weekdays
2.788479511622784,Entire home/apt,4.0,False,0,0,9.0,100,3,4.0,2.0,amsterdam,weekdays
2.445758585751496,Private room,4.0,False,0,0,9.0,95,1,7.5,3.0,amsterdam,weekdays
2.5380495711113493,Private room,2.0,False,1,0,10.0,95,1,1.0,0.5,amsterdam,weekdays
2.3906223124622765,Private room,4.0,False,0,0,10.0,100,0,3.0,1.5,amsterdam,weekdays
2.717956892748956,Entire home/apt,3.0,False,0,0,10.0,95,2,9.5,0.5,amsterdam,weekdays
2.482116592685989,Private room,4.0,False,1,0,5.0,80,0,4.0,0.5,amsterdam,weekdays
2.9024738254976095,Entire home/apt,5.0,False,0,1,9.0,95,3,4.0,0.5,amsterdam,weekdays
2.8162286364911604,Private room,2.0,False,0,0,10.0,95,1,1.0,0.5,amsterdam,weekdays
2.4431985266556193,Private room,2.0,True,1,0,10.0,100,1,4.0,0.0,amsterdam,weekdays
2.698022485707041,Private room,4.0,True,1,0,10.0,95,2,4.0,0.0,amsterdam,weekdays
2.6916523081262573,Entire home/apt,4.0,False,0,0,10.0,95,2,3.0,0.5,amsterdam,weekdays
2.6458488142307686,Private room,2.0,True,1,0,10.0,95,1,2.0,2.0,amsterdam,weekdays
2.3068629317335327,Private room,2.0,True,1,0,10.0,100,1,8.5,3.5,amsterdam,weekdays
2.4116341432404704,Shared room,3.0,True,1,0,10.0,100,1,7.0,3.0,amsterdam,weekdays
2.3906223124622765,Private room,2.0,True,1,0,10.0,95,1,4.0,1.0,amsterdam,weekdays
2.82590904872367,Entire home/apt,4.0,False,1,0,9.0,90,2,2.5,2.0,amsterdam,weekdays
2.6565277936236487,Entire home/apt,2.0,False,0,1,9.0,85,1,3.0,1.0,amsterdam,weekdays
2.8491341407448885,Entire home/apt,4.0,False,1,0,9.0,90,3,2.5,2.0,amsterdam,weekdays
3.0163485743003307,Entire home/apt,4.0,False,0,0,9.0,100,2,0.0,0.5,amsterdam,weekdays
3.3980926408411922,Entire home/apt,4.0,False,0,0,9.0,100,1,1.5,1.0,amsterdam,weekdays
2.601571207597235,Private room,2.0,False,0,1,9.0,90,0,1.0,0.5,amsterdam,weekdays
2.6106455953860497,Private room,2.0,False,0,1,9.0,80,0,1.5,0.0,amsterdam,weekdays
2.6106455953860497,Private room,2.0,False,0,1,8.0,80,0,2.0,0.0,amsterdam,weekdays
2.504342680103392,Private room,2.0,False,1,0,9.0,95,1,1.0,1.0,amsterdam,weekdays
2.912298771644695,Entire home/apt,4.0,False,1,0,10.0,100,3,4.0,0.0,amsterdam,weekdays
2.899148822056699,Entire home/apt,6.0,False,0,0,9.0,90,3,6.5,2.5,amsterdam,weekdays
2.43803268601488,Private room,2.0,False,1,0,9.0,90,1,1.0,0.5,amsterdam,weekdays
2.888886862917063,Entire home/apt,2.0,False,0,0,9.0,95,1,0.5,0.5,amsterdam,weekdays
2.3448188185667873,Private room,2.0,False,0,0,10.0,100,1,9.0,0.5,amsterdam,weekdays
2.6398265009140425,Private room,2.0,False,0,1,9.0,90,0,1.0,0.5,amsterdam,weekdays
2.988835744633652,Entire home/apt,3.0,False,0,0,10.0,95,1,1.0,0.5,amsterdam,weekdays
